kumu_id,label,node_type,contour,degree,degree_centrality,betweenness_centrality,closeness_centrality
org_rsv,Автономная некоммерческая организация «Россия — страна возможностей»,organization,встроенные внешние акторы,0,0.0,0.0,0.0
org_national_priorities,Автономная некоммерческая организация «Национальные приоритеты»,organization,встроенные внешние акторы,0,0.0,0.0,0.0
org_fpg,Фонд президентских грантов,organization,встроенные внешние акторы,0,0.0,0.0,0.0
org_pfki,Президентский фонд культурных инициатив,organization,встроенные внешние акторы,0,0.0,0.0,0.0
org_tass,Информационное агентство России ТАСС,organization,встроенные внешние акторы,0,0.0,0.0,0.0
org_vgtrk,Всероссийская государственная телевизионная и радиовещательная компания,organization,встроенные внешние акторы,0,0.0,0.0,0.0
org_ria_sputnik,Международная медиагруппа «Россия сегодня»,organization,встроенные внешние акторы,0,0.0,0.0,0.0
org_rt,Телеканал RT (Russia Today),organization,встроенные внешние акторы,0,0.0,0.0,0.0
org_onf,Общероссийское общественное движение «Народный фронт»,organization,встроенные внешние акторы,0,0.0,0.0,0.0
org_asi,Агентство стратегических инициатив по продвижению новых проектов,organization,встроенные внешние акторы,0,0.0,0.0,0.0
sub_ap_domestic,Управление Президента Российской Федерации по внутренней политике,subdivision,,0,0.0,0.0,0.0
sub_ap_state_legal,Государственно-правовое управление Президента Российской Федерации,subdivision,,0,0.0,0.0,0.0
sub_gov_apparatus,Аппарат Правительства Российской Федерации,subdivision,,0,0.0,0.0,0.0
sub_er_general_council,Генеральный совет партии «Единая Россия»,subdivision,,0,0.0,0.0,0.0
sub_er_presidium,Президиум Генерального совета партии «Единая Россия»,subdivision,,0,0.0,0.0,0.0
sub_oprf_presidium,Президиум Общественной палаты Российской Федерации,subdivision,,0,0.0,0.0,0.0
sub_ap_public_projects,Управление Президента Российской Федерации по общественным проектам,subdivision,,0,0.0,0.0,0.0
sub_ap_control,Контрольное управление Президента Российской Федерации,subdivision,,0,0.0,0.0,0.0
sub_ap_gov_service,"Управление Президента Российской Федерации по вопросам государственной службы, кадров и противодействия коррупции",subdivision,,0,0.0,0.0,0.0
sub_ap_state_council_support,Управление Президента Российской Федерации по обеспечению деятельности Государственного Совета Российской Федерации,subdivision,,0,0.0,0.0,0.0
sub_ap_expert,Экспертное управление Президента Российской Федерации,subdivision,,0,0.0,0.0,0.0
sub_ap_citizen_appeals,Управление Президента Российской Федерации по работе с обращениями граждан и организаций,subdivision,,0,0.0,0.0,0.0
sub_ap_ict,Управление Президента Российской Федерации по развитию информационно-коммуникационных технологий и инфраструктуры связи,subdivision,,0,0.0,0.0,0.0
sub_ap_external_policy,Управление Президента Российской Федерации по внешней политике,subdivision,,0,0.0,0.0,0.0
sub_ap_science_edu,Управление Президента Российской Федерации по научно-образовательной политике,subdivision,,0,0.0,0.0,0.0
sub_ap_awards,Управление Президента Российской Федерации по государственным наградам,subdivision,,0,0.0,0.0,0.0
org_sber,ПАО Сбербанк,organization,встроенные внешние акторы,0,0.0,0.0,0.0
org_gazprom,ПАО «Газпром»,organization,встроенные внешние акторы,0,0.0,0.0,0.0
org_sk_rf,Следственный комитет Российской Федерации,organization,исполнение и принуждение,0,0.0,0.0,0.0
org_prosecutor_general_rf,Генеральная прокуратура Российской Федерации,organization,исполнение и принуждение,0,0.0,0.0,0.0
org_supreme_court_rf,Верховный Суд Российской Федерации,organization,воспроизводство и легитимация,0,0.0,0.0,0.0
org_constitutional_court_rf,Конституционный Суд Российской Федерации,organization,воспроизводство и легитимация,0,0.0,0.0,0.0
org_cik_rf,Центральная избирательная комиссия Российской Федерации,organization,воспроизводство и легитимация,0,0.0,0.0,0.0
